sys_RespNum,d,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,MXD_13_b,MXD_13_w,MXD_14_b,MXD_14_w,MXD_15_b,MXD_15_w,MXD_16_b,MXD_16_w,MXD_17_b,MXD_17_w,MXD_18_b,MXD_18_w,sys_MXDDesignID_MXD,nKOP1,nKOP2,nKOP3,nKOP4,nKOP5,nKOP6,nKOP7,nKOP8,nKOP9,nKOP10,nKOP11,nKOP12,nKOP13,weegvar
1938,411112476,32,28,33,24,5,29,34,25,31,8,3,18,6,39,16,38,8,25,34,24,6,29,14,12,34,13,32,27,33,18,5,17,15,25,27,19,MXD1_1753104514_5,1,5,1,2,7,3,5,5,12,2,1,1,1,.88246624313761
155,411112483,32,35,7,31,2,38,16,36,5,28,3,21,14,29,22,24,1,33,5,25,2,35,6,38,15,9,13,7,22,39,16,23,11,19,3,35,MXD1_1753104514_5,2,5,2,1,2,3,4,2,5,2,2,1,2,.971967190580289
1052,411112498,15,29,40,17,34,36,31,23,33,38,22,15,21,14,16,37,32,38,20,28,15,12,35,25,22,26,21,18,39,29,20,16,35,11,14,28,MXD1_1753104514_5,1,5,2,3,6,1,6,4,7,2,2,2,2,.88246624313761
914,411112499,22,26,16,17,34,40,15,7,25,35,10,26,19,38,8,17,9,28,6,39,19,26,4,12,8,13,16,30,14,38,9,23,19,34,5,13,MXD1_1753104514_5,2,5,2,5,5,3,4,2,10,2,2,2,2,.757315478001565
1848,411112504,8,18,4,19,5,26,10,16,8,28,13,14,2,24,6,37,9,15,10,30,5,29,4,24,13,19,3,16,2,18,17,26,21,14,23,24,MXD1_1753104514_5,1,5,1,4,3,2,2,2,3,2,1,2,1,1.13259039335603
1555,411112505,6,23,17,28,8,25,4,34,9,12,10,19,3,26,5,30,9,13,27,25,10,36,34,26,1,39,8,4,6,11,2,12,17,25,7,13,MXD1_1753104514_5,2,5,2,2,5,3,2,6,5,2,2,2,2,.971967190580289
1787,411112507,12,26,33,1,8,17,38,35,2,40,12,23,10,14,13,39,4,28,3,23,2,37,7,17,3,5,13,35,6,14,26,28,8,21,3,18,MXD1_1753104514_5,1,5,2,4,4,3,1,2,5,1,1,1,2,.88246624313761
38,411112510,6,39,1,31,5,36,6,28,7,29,3,28,10,34,22,30,16,35,3,31,21,39,1,26,7,17,10,36,8,29,23,28,2,27,6,26,MXD1_1753104514_5,2,5,1,4,3,3,6,2,5,2,2,1,2,.971967190580289
274,411112512,25,19,5,40,33,12,21,20,2,17,10,26,24,27,5,18,6,19,3,26,4,27,15,36,20,12,34,13,3,7,16,17,6,27,14,29,MXD1_1753104514_5,1,5,2,5,7,3,6,2,7,2,1,1,2,.686049367051532
257,411112516,40,27,16,20,6,35,11,30,23,20,10,26,5,36,15,31,23,38,16,37,11,28,12,29,9,13,34,26,21,12,9,39,10,38,8,29,MXD1_1753104514_5,2,5,3,5,1,3,4,2,5,2,2,1,2,1.13321125009949
131,411112530,6,32,19,28,16,18,5,17,15,24,4,13,22,12,40,34,16,17,23,28,19,11,4,26,15,12,23,25,37,29,20,28,36,12,21,29,MXD1_1753104514_5,1,5,1,4,8,3,6,2,5,2,1,1,2,.686049367051532
1541,411112533,3,18,10,23,2,25,12,24,8,16,9,15,2,19,1,25,13,28,6,14,8,15,10,21,12,33,39,28,13,18,9,26,2,21,10,35,MXD1_1753104514_5,1,5,1,4,6,99999997,5,3,9,2,1,1,1,.88246624313761
1380,411112534,40,33,4,28,15,26,14,24,16,32,17,7,6,29,1,30,15,33,16,36,17,38,27,26,5,29,8,28,9,12,6,18,11,37,15,13,MXD1_1753104514_5,2,5,2,5,8,3,6,3,3,2,2,2,2,.588754310299757
494,411112536,22,35,29,36,39,18,5,7,37,38,40,19,3,9,6,11,5,12,37,13,2,18,28,19,3,7,9,11,25,15,16,13,6,33,15,23,MXD1_1753104514_5,1,5,1,5,4,3,4,6,5,2,1,1,2,.686049367051532
405,411112541,5,26,17,13,29,36,15,11,14,34,3,13,2,30,25,12,16,35,2,28,1,12,7,38,14,26,6,18,9,33,16,38,15,24,8,19,MXD1_1753104514_5,2,5,3,5,1,3,4,4,3,2,2,1,2,1.13321125009949
27,411112568,16,39,31,35,5,12,3,38,16,21,27,36,34,35,5,11,24,17,27,13,15,12,22,11,37,38,25,18,2,39,14,28,24,26,23,35,MXD1_1753104514_5,2,5,2,5,5,1,4,2,3,2,2,2,1,.757315478001565
1376,411112572,6,24,21,26,2,14,17,28,1,18,5,25,7,24,39,29,10,34,4,13,7,35,9,29,3,28,2,12,40,18,10,24,17,25,9,30,MXD1_1753104514_5,2,5,1,5,3,1,5,4,10,2,1,1,1,.971967190580289
1599,411112575,40,39,7,28,16,38,5,19,9,30,10,26,8,35,25,29,32,18,9,27,16,21,10,3,6,2,30,38,22,26,10,8,24,29,14,28,MXD1_1753104514_5,1,5,1,1,3,2,1,5,11,1,2,1,1,1.13259039335603
1562,411112584,2,18,16,38,12,35,15,11,3,25,16,28,9,23,14,30,33,29,11,17,3,35,15,33,14,32,9,39,8,20,34,18,10,30,15,28,MXD1_1753104514_5,1,5,2,3,7,3,6,2,10,2,1,2,1,.686049367051532
1091,411112594,1,29,16,36,13,32,40,31,37,30,2,26,1,18,10,19,5,28,9,35,21,17,3,30,13,33,10,39,13,26,6,34,33,19,3,26,MXD1_1753104514_5,1,5,1,2,6,3,6,3,13,2,1,2,2,.88246624313761
1689,411112598,5,29,40,14,10,32,25,37,21,26,6,28,16,36,17,38,23,26,15,1,6,29,21,35,5,30,27,18,13,28,15,20,16,21,5,23,MXD1_1753104514_5,1,5,1,5,3,3,3,6,9,2,1,2,1,.88246624313761
1191,411112601,15,28,11,32,10,26,16,37,9,29,15,27,2,31,3,28,16,12,1,32,15,29,3,26,21,27,2,30,9,32,3,40,14,13,16,27,MXD1_1753104514_5,1,5,1,1,7,1,6,6,11,2,1,2,1,.88246624313761
1681,411112603,15,37,16,29,12,19,2,17,1,32,3,40,13,28,5,33,16,8,13,19,3,25,24,35,1,29,9,38,15,21,12,32,11,27,16,7,MXD1_1753104514_5,1,5,2,4,2,1,6,4,10,2,1,2,1,.88246624313761
1194,411112612,11,27,5,30,7,26,15,29,1,18,6,19,2,13,8,28,23,27,5,18,15,13,4,28,22,39,14,12,3,29,11,19,15,12,16,34,MXD1_1753104514_5,2,5,2,2,1,4,6,2,7,2,2,2,2,.757315478001565
1233,411112615,22,4,9,26,8,39,16,12,10,35,6,18,37,13,7,28,2,12,16,40,6,30,9,19,7,18,36,26,3,35,10,27,6,26,9,30,MXD1_1753104514_5,1,5,2,3,5,3,6,3,9,2,1,1,2,.88246624313761
1676,411112622,6,33,3,26,16,9,22,17,1,18,15,25,24,13,29,26,22,38,4,13,5,7,20,9,6,25,2,12,20,18,10,19,21,34,9,30,MXD1_1753104514_5,2,5,2,2,3,2,5,3,7,2,2,2,1,.971967190580289
1771,411112627,15,38,2,30,3,23,5,27,14,35,15,17,12,20,10,19,8,31,14,18,13,33,16,30,3,19,6,27,17,32,11,18,9,20,3,32,MXD1_1753104514_5,1,5,3,5,1,3,4,3,9,2,2,1,2,1.13259039335603
